County,court_level,court_name,Supreme - Filed,COA - CR filed,COA - CV filed,HC - CR filed,HC - CV filed,ELRC - Filed cases,ELC - Filed cases,MC - CR filed cases,MC - CV filed cases,SCC - CR filed cases,SCC - CV filed cases,Kadhi Court - Filed cases,Supreme - Resolved,COA - CR Resolved,COA - CV Resolved,HC - CR Resolved,HC - CV Resolved,ELRC - Resolved cases,ELC - Resolved cases,MC - CR Resolved cases,MC - CV Resolved cases,SCC - CR Resolved cases,SCC - CV Resolved cases,Kadhi Court - Resolved cases,Supreme - Pending,COA - CR Pending,COA - CV Pending,HC - CR Pending,HC - CV Pending,ELRC - Pending cases,ELC - Pending cases,MC - CR Pending cases,MC - CV Pending cases,SCC - CR Pending cases,SCC - CV Pending cases,SCC- All Pending cases,Kadhi Court - pending cases
Mombasa,2,Mombasa Court of Appeal,,139,254,,,,,,,,,,,54,223,,,,,,,,,,,195,662,,,,,,,,,,
Mombasa,3,Mombasa High Court,,,,525,561,,,,,,,,,,,366,1012,,,,,,,,,,,2437,6905,,,,,,,,
Mombasa,4,Mombasa ELRC,,,,,,372,,,,,,,,,,,,958,,,,,,,,,,,,949,,,,,,,
Mombasa,5,Mombasa ELC,,,,,,,273,,,,,,,,,,,,411,,,,,,,,,,,,1958,,,,,,
Mombasa,6,Kaloleni Magistrate Court,,,,,,,,268,376,,,,,,,,,,,257,381,,,,,,,,,,,273,530,,,,
Mombasa,6,Mariakani Magistrate Court,,,,,,,,1289,359,,,,,,,,,,,1387,657,,,,,,,,,,,1411,856,,,,
Mombasa,6,Mombasa Magistrate Court,,,,,,,,5153,2557,,,,,,,,,,,4622,3528,,,,,,,,,,,21122,27821,,,,
Mombasa,6,Shanzu Magistrate Court,,,,,,,,2789,0,,,,,,,,,,,2753,0,,,,,,,,,,,3858,0,,,,
Mombasa,6,Tononoka Magistrate Court,,,,,,,,410,657,,,,,,,,,,,304,289,,,,,,,,,,,338,1104,,,,
Mombasa,7,Mombasa Kadhi Court,,,,,,,,,,,,1496,,,,,,,,,,,,977,,,,,,,,,,,,,3585
Mombasa,7,Mariakani Kadhi Court,,,,,,,,,,,,161,,,,,,,,,,,,28,,,,,,,,,,,,,139
Kwale,5,Kwale ELC,,,,,,,171,,,,,,,,,,,,22,,,,,,,,,,,,142,,,,,,
Kwale,6,Kwale Magistrate Court,,,,,,,,930,452,,,,,,,,,,,830,344,,,,,,,,,,,1900,2395,,,,
Kwale,7,Kwale Kadhi Court,,,,,,,,,,,,889,,,,,,,,,,,,411,,,,,,,,,,,,,598
Kwale,6,Msambweni Magistrate Court,,,,,,,,513,188,,,,,,,,,,,445,212,,,,,,,,,,,470,347,,,,
Kwale,7,Msambweni Kadhi Court,,,,,,,,,,,,186,,,,,,,,,,,,131,,,,,,,,,,,,,157
